epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,122.404,1.2298,0.60846,1.13527,0.9672,1,0.995,0.7099,1.18561,0.55544,1.09877,0.00275189,0.00275189,0.00275189
58,124.507,1.21881,0.58811,1.14307,0.98423,1,0.995,0.70356,1.21027,0.54996,1.11089,0.00274321,0.00274321,0.00274321
59,126.608,1.17799,0.60811,1.12517,0.99695,1,0.995,0.68878,1.16647,0.51007,1.09181,0.00273441,0.00273441,0.00273441
60,128.726,1.14399,0.56688,1.10215,0.9971,1,0.995,0.74489,1.08552,0.48252,1.04454,0.00272546,0.00272546,0.00272546
61,130.877,1.17846,0.57557,1.10183,0.9969,1,0.995,0.72666,1.06454,0.5157,1.04508,0.00271639,0.00271639,0.00271639
62,132.998,1.17413,0.56729,1.10187,0.99454,1,0.995,0.68632,1.21352,0.57119,1.10688,0.00270718,0.00270718,0.00270718
63,135.285,1.12154,0.5939,1.07388,0.99774,1,0.995,0.71235,1.10039,0.50285,1.06362,0.00269785,0.00269785,0.00269785
64,137.592,1.25373,0.59129,1.15338,1,0.99466,0.995,0.70451,1.16417,0.53265,1.0778,0.00268838,0.00268838,0.00268838
65,139.97,1.22921,0.56159,1.17153,0.98905,1,0.995,0.71999,1.09017,0.52787,1.05578,0.00267878,0.00267878,0.00267878
66,142.214,1.10973,0.55648,1.10447,0.99676,1,0.995,0.72093,1.06586,0.48321,1.04054,0.00266906,0.00266906,0.00266906
67,144.627,1.11909,0.58526,1.09615,0.99712,1,0.995,0.73398,1.07827,0.49963,1.03292,0.00265921,0.00265921,0.00265921
68,147.229,1.14473,0.54912,1.09615,0.99772,1,0.995,0.66644,1.16486,0.52769,1.06175,0.00264924,0.00264924,0.00264924
69,149.708,1.1759,0.57001,1.1137,0.81429,0.83333,0.89647,0.4003,1.80952,1.06406,1.37087,0.00263914,0.00263914,0.00263914
70,152.532,1.1755,0.58437,1.13442,0.88274,0.66667,0.73907,0.26266,2.58156,1.60644,1.82064,0.00262891,0.00262891,0.00262891
71,155.105,1.1654,0.58012,1.0877,0.95267,1,0.99306,0.70455,1.11232,0.53181,1.05332,0.00261857,0.00261857,0.00261857
72,157.617,1.13388,0.56601,1.08659,0.99013,1,0.995,0.71701,1.04475,0.55757,1.02672,0.0026081,0.0026081,0.0026081
73,160.162,1.10008,0.53709,1.05707,0.98535,1,0.995,0.69424,1.05498,1.17912,1.0249,0.00259752,0.00259752,0.00259752
74,162.905,1.15929,0.53299,1.0928,0.99622,1,0.995,0.70474,1.06181,0.62215,1.01718,0.00258681,0.00258681,0.00258681
75,165.436,1.25724,0.59423,1.15508,0.99745,1,0.995,0.65676,1.21263,0.52077,1.07813,0.00257599,0.00257599,0.00257599
76,168.009,1.23532,0.59044,1.14122,0.02017,0.1,0.00782,0.00262,4.08633,7.67022,3.77713,0.00256505,0.00256505,0.00256505
77,170.149,1.18789,0.56807,1.12336,0.05041,0.13333,0.03082,0.01475,3.55221,5.66887,3.10454,0.002554,0.002554,0.002554
78,172.796,1.17279,0.5726,1.12627,0.99778,1,0.995,0.68317,1.14901,0.51094,1.05704,0.00254283,0.00254283,0.00254283
79,175.147,1.10084,0.53224,1.05685,0.90875,0.99601,0.98896,0.67563,1.14047,0.54918,1.06564,0.00253155,0.00253155,0.00253155
80,177.264,1.14837,0.58101,1.09706,1,0.89583,0.98688,0.67802,1.16278,0.5757,1.06747,0.00252016,0.00252016,0.00252016
81,180.068,1.18791,0.56713,1.10605,0.99584,1,0.995,0.68753,1.20002,0.51328,1.08338,0.00250866,0.00250866,0.00250866
