epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,506.635,1.25299,0.57685,1.16266,0.99743,1,0.995,0.67596,1.3382,0.51559,1.14322,0.00254283,0.00254283,0.00254283
79,513.771,1.23043,0.59162,1.16396,0.98848,1,0.995,0.68236,1.17936,0.56462,1.07163,0.00253155,0.00253155,0.00253155
80,520.879,1.23127,0.59278,1.16071,0.9977,1,0.995,0.69574,1.18859,0.51556,1.07954,0.00252016,0.00252016,0.00252016
81,528.034,1.1577,0.53908,1.13122,1,1,0.995,0.70729,1.25047,0.49446,1.09938,0.00250866,0.00250866,0.00250866
82,535.159,1.19096,0.55908,1.15375,0.99768,1,0.995,0.73025,1.13401,0.4782,1.06042,0.00249705,0.00249705,0.00249705
83,542.265,1.19065,0.55477,1.16153,0.99763,1,0.995,0.73714,1.03017,0.43478,1.03765,0.00248533,0.00248533,0.00248533
84,549.445,1.205,0.53876,1.15742,1,1,0.995,0.71461,1.11778,0.46332,1.06891,0.0024735,0.0024735,0.0024735
85,556.597,1.2137,0.56066,1.17728,0.99761,1,0.995,0.63404,1.30176,0.52004,1.1212,0.00246157,0.00246157,0.00246157
86,563.694,1.25012,0.56866,1.17794,0.99779,1,0.995,0.60415,1.27936,0.52619,1.11764,0.00244954,0.00244954,0.00244954
87,570.849,1.152,0.54892,1.14482,0.99656,1,0.995,0.54537,1.65007,0.5944,1.31895,0.0024374,0.0024374,0.0024374
88,577.94,1.19995,0.54499,1.15896,0.99775,1,0.995,0.65687,1.30781,0.51158,1.13493,0.00242517,0.00242517,0.00242517
89,585.074,1.19014,0.56877,1.15969,0.99718,1,0.995,0.71583,1.16017,0.49688,1.07168,0.00241283,0.00241283,0.00241283
90,592.246,1.19487,0.56517,1.16089,0.99785,1,0.995,0.73364,1.17462,0.50884,1.05927,0.00240039,0.00240039,0.00240039
91,599.391,1.19319,0.5536,1.15686,0.99773,1,0.995,0.74212,1.06537,0.4684,1.03127,0.00238786,0.00238786,0.00238786
92,606.547,1.1963,0.53987,1.15019,0.99765,1,0.995,0.75569,1.01707,0.4736,1.01762,0.00237523,0.00237523,0.00237523
93,613.835,1.21132,0.54349,1.16501,0.99784,1,0.995,0.70043,1.14554,0.45749,1.07058,0.00236251,0.00236251,0.00236251
94,620.994,1.1726,0.53365,1.14969,0.99751,1,0.995,0.72742,1.07147,0.46541,1.03302,0.00234969,0.00234969,0.00234969
